metric,value
n,500
mean_kj_mol,-2.6838918211242744
std_kj_mol,12.949152410197838
min_kj_mol,-34.87297051122645
max_kj_mol,78.51789656893187
median_kj_mol,-3.1245947065292574
q05_kj_mol,-21.47934682158215
q95_kj_mol,17.78048727546022
ours_fit_mu_kj_mol,-15.339984591640745
ours_fit_sigma_kj_mol,18.097570960071252
ours_fit_alpha,1.8756048886575933
wagih_mu_kj_mol,-2.0
wagih_sigma_kj_mol,8.0
wagih_range_min_kj_mol,-30.0
wagih_range_max_kj_mol,30.0
fraction_outside_wagih_range,0.018
comparison_type,raw_wagih_two_sample
wagih_raw_n,96561
wagih_raw_mean_kj_mol,14.964359278715568
wagih_raw_std_kj_mol,17.133265132489
wagih_raw_min_kj_mol,-80.0944443
wagih_raw_max_kj_mol,116.3119507
wagih_raw_fit_mu_kj_mol,5.87297573900196
wagih_raw_fit_sigma_kj_mol,19.395834311410454
wagih_raw_fit_alpha,0.7261989157430835
ks_d_vs_wagih_raw,0.48732390923871954
ks_p_vs_wagih_raw,2.790861289563532e-109
