atom_id,delta_e_kj_mol
2,3.5903213
4,25.1492291
5,8.1503153
7,33.4618607
8,-13.1451244
12,24.3802624
14,33.2694092
15,40.6049004
16,-14.4946804
21,28.5486565
22,20.8250389
23,41.8160744
24,0.4227589
28,23.9830036
29,15.7855101
30,39.8178559
31,-3.1089499
36,24.0057793
37,30.7374382
38,26.7287884
40,33.0820808
42,13.9968128
43,36.7174874
44,8.1791124
45,22.3399906
46,4.942
47,43.3796501
48,6.1629005
49,11.3229408
53,13.2970276
57,21.4585629
58,13.6157112
59,18.1232948
60,-3.2903011
61,-15.9181824
62,20.1524048
63,8.7279263
64,25.618475
65,10.7944289
66,-1.1547319
72,4.6695509
73,14.6509629
74,27.8043499
75,-10.6433296
76,32.7424889
77,6.3387189
78,16.932085
79,68.2741394
80,30.8705978
81,9.8515034
82,35.6196022
83,27.1395626
84,14.4237747
89,13.3835306
92,14.8220692
93,9.0309744
94,24.886387
95,13.5772906
96,50.5476647
97,23.6405754
98,44.4089508
99,40.3005867
100,17.4659653
101,33.538147
102,30.0680122
104,11.4258194
105,7.9568224
109,16.4402752
111,21.8482666
112,32.85104
113,82.6286545
114,5.9651928
115,-0.1522899
116,34.86372
117,47.5698891
118,20.6761818
121,24.4098721
122,1.2392208
123,-4.3246074
124,11.6620856
125,41.7934189
126,19.1504765
127,41.800335
128,36.0949783
129,23.8507596
130,5.302228
131,43.5675354
132,29.4100094
137,-7.952713
139,40.8197899
140,39.5722008
141,3.4046836
142,15.1796103
143,16.5023213
144,32.9750786
145,47.8917046
146,34.0226364
147,27.0904675
148,36.0194321
149,18.2155666
150,36.3637695
151,19.7801094
153,-9.3604212
154,20.9715576
156,-0.1855173
157,26.9702492
158,3.600858
160,40.7109833
163,10.3864117
164,15.6113739
167,-3.7203765
168,28.4751663
169,16.9296742
170,32.348896
174,4.362443
175,-3.83636
176,1.2958595
177,22.8551522
179,-21.2751427
180,3.7737549
181,27.039753
182,18.5161133
183,1.2829572
184,45.1242523
185,-5.5529104
186,24.4591694
187,-2.6287756
188,-1.6049322
189,-5.909185
190,-9.5106325
191,28.0788345
192,19.5403557
193,-3.6402781
194,17.9837666
195,5.1468
198,-2.9211628
199,5.009882
200,-9.7855273
201,69.4140549
202,20.9802742
203,25.8732052
204,-22.0852261
205,-5.936708
206,5.1874142
207,-21.4297333
208,1.1062611
209,-27.6121693
210,5.4901414
211,-4.2857318
212,17.1831493
213,19.5939274
214,-17.0469074
215,-8.5496588
216,2.0683372
219,15.6572142
224,19.2594166
225,1.7394569
226,-2.0593352
227,1.7263661
228,15.4561405
229,0.1528929
230,4.0847201
231,94.8911134
232,8.844287
233,2.661978
234,22.5047837
235,16.6944981
236,9.8914434
237,-16.0799313
239,3.853236
240,25.8466798
241,4.7962451
245,15.6400547
248,9.6871691
250,12.0469294
251,-0.5725611
253,3.0446713
254,29.0393581
255,42.7655335
256,6.1195121
257,51.3063049
258,13.853695
