metric,value
n,1000
mean_kj_mol,-2.334132647071708
std_kj_mol,13.376586404462781
min_kj_mol,-42.83185239506003
max_kj_mol,51.740843558416515
median_kj_mol,-3.168527087303077
q05_kj_mol,-22.727335594354944
q95_kj_mol,20.28155491243096
ours_fit_mu_kj_mol,-15.057017035481211
ours_fit_sigma_kj_mol,18.45606537784973
ours_fit_alpha,1.723440812161825
wagih_mu_kj_mol,-2.0
wagih_sigma_kj_mol,8.0
wagih_range_min_kj_mol,-30.0
wagih_range_max_kj_mol,30.0
fraction_outside_wagih_range,0.021
comparison_type,raw_wagih_two_sample
wagih_raw_n,96561
wagih_raw_mean_kj_mol,14.964359278715568
wagih_raw_std_kj_mol,17.133265132489
wagih_raw_min_kj_mol,-80.0944443
wagih_raw_max_kj_mol,116.3119507
wagih_raw_fit_mu_kj_mol,5.87297573900196
wagih_raw_fit_sigma_kj_mol,19.395834311410454
wagih_raw_fit_alpha,0.7261989157430835
ks_d_vs_wagih_raw,0.4526676815691636
ks_p_vs_wagih_raw,8.991729417978868e-186
