role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count,distance_to_nearest_gb_A,bulk_distance_rank,wagih_delta_e_kj_mol
bulk_reference,429295,192.6620026,131.6179962,96.7316971,0,,39.26293596185094,1,0.0
bulk_reference,429297,194.1230011,130.8410034,94.3054962,0,,39.24451051828462,2,0.0
bulk_reference,431145,191.9839936,129.746994,89.8233032,0,,38.97612532411283,3,0.0
bulk_reference,429208,192.9550018,128.8849946,92.4587021,0,,38.7257049359957,4,0.0
bulk_reference,429298,191.4940033,129.6629944,94.885399,0,,38.72519714261652,5,0.0
bulk_reference,429388,192.8580018,134.4369965,95.942299,0,,38.704448955648054,6,0.0
bulk_reference,393710,48.4463997,174.8370056,45.4323006,0,,38.69133842179553,7,0.0
bulk_reference,427377,191.0039978,129.5740052,99.9470978,0,,38.65957019551676,8,0.0
bulk_reference,429205,195.3869934,127.2460022,92.667099,0,,38.610633165194976,9,0.0
bulk_reference,427379,192.4649964,128.7980042,97.5205002,0,,38.605714608614655,10,0.0
gb_sample,235619,37.3666,149.7969971,106.9100038,1,,0.0,,18.4444065
gb_sample,450026,190.6470032,150.3760071,32.0159988,1,,0.0,,19.4261627
gb_sample,234335,156.2949982,23.8570996,179.6959992,1,,0.0,,2.8619228
gb_sample,436118,194.3710022,186.8029938,113.9079972,1,,0.0,,18.2404671
gb_sample,350613,132.4459992,178.6029969,28.9386006,1,,0.0,,21.5523644
gb_sample,329818,185.970993,7.3343501,143.5859986,1,,0.0,,19.0524197
gb_sample,291699,86.2580032,171.0639954,182.7689972,1,,0.0,,19.2818051
gb_sample,356249,150.8450012,179.6139984,133.2330017,1,,0.0,,18.9840184
gb_sample,461566,162.772995,86.8992004,49.8058014,1,,0.0,,29.2172108
gb_sample,214203,119.4160004,90.7177964,124.3840027,1,,0.0,,6.0229797
gb_sample,62422,21.6068001,120.3330002,156.6600037,1,,0.0,,30.0482636
gb_sample,310516,24.8306008,83.905899,73.226799,1,,0.0,,19.3424778
gb_sample,265012,94.5972977,124.5910034,186.3459931,1,,0.0,,15.6886416
gb_sample,411011,3.19646,196.8000031,89.8414994,1,,0.0,,-6.969172
gb_sample,449515,181.5180054,141.929001,25.0044003,1,,0.0,,43.6495171
gb_sample,392867,66.5195999,129.0,69.5202027,1,,0.0,,39.6443825
gb_sample,120943,74.6062012,87.2354965,113.3339996,1,,0.0,,32.0592041
gb_sample,369701,133.4850006,117.1660004,112.2200012,1,,0.0,,0.9682472
gb_sample,357755,138.578003,163.6150055,129.2290039,1,,0.0,,27.5886479
gb_sample,69691,73.0820007,137.0729981,197.279007,1,,0.0,,6.9058414
gb_sample,196280,109.151001,-1.55764,13.5426998,1,,0.0,,-4.657919
gb_sample,233274,133.4479981,47.2891007,184.298996,1,,0.0,,4.4261875
gb_sample,297658,199.3079987,52.8199005,69.5341034,1,,0.0,,-19.9493866
gb_sample,294506,169.4709931,39.4678002,46.9315988,1,,0.0,,5.1325536
gb_sample,212424,153.9320068,90.2580032,124.8030014,1,,0.0,,-12.5749464
gb_sample,443592,189.5639954,117.5080033,40.9700012,1,,0.0,,6.2496591
gb_sample,207220,64.3003006,34.4267998,200.3930054,1,,0.0,,-24.0156155
gb_sample,221634,128.5809937,36.3465004,107.8830032,1,,0.0,,39.9586372
gb_sample,78190,124.2549973,85.4257965,71.0976028,1,,0.0,,31.2870026
