metric,value
n,500
mean_kj_mol,-11.631705372937903
std_kj_mol,25.03575889367549
min_kj_mol,-67.95854471086828
max_kj_mol,82.29647872238219
median_kj_mol,-14.572398995333627
q05_kj_mol,-48.29635747791376
q95_kj_mol,33.10911570366409
ours_fit_mu_kj_mol,-37.708222544166645
ours_fit_sigma_kj_mol,36.13198307829794
ours_fit_alpha,2.1329081976491118
wagih_mu_kj_mol,-2.0
wagih_sigma_kj_mol,8.0
wagih_range_min_kj_mol,-30.0
wagih_range_max_kj_mol,30.0
fraction_outside_wagih_range,0.298
comparison_type,raw_wagih_two_sample
wagih_raw_n,96561
wagih_raw_mean_kj_mol,14.964359278715568
wagih_raw_std_kj_mol,17.133265132489
wagih_raw_min_kj_mol,-80.0944443
wagih_raw_max_kj_mol,116.3119507
wagih_raw_fit_mu_kj_mol,5.87297573900196
wagih_raw_fit_sigma_kj_mol,19.395834311410454
wagih_raw_fit_alpha,0.7261989157430835
ks_d_vs_wagih_raw,0.532051076521577
ks_p_vs_wagih_raw,7.059574808143969e-132
