role,atom_id,x_A,y_A,z_A,is_gb,first_neighbor_count
bulk_reference,40410,51.8021869675,49.3707544635,51.4701385972,0,12
gb_sample,40627,52.0817154078,20.8932790295,64.4609682832,1,6
gb_sample,73947,94.714283155,10.3956939352,47.600370836,1,11
gb_sample,40028,51.2983041009,8.8551007917,86.1926483732,1,10
gb_sample,71510,91.5839229905,78.7496035655,93.3046949296,1,11
gb_sample,60690,77.6004026435,22.1499987055,41.3962274425,1,11
gb_sample,55816,71.4575588541,37.2433763316,89.9150989423,1,11
gb_sample,47802,61.2323904295,55.1662905274,43.0748961805,1,9
gb_sample,62031,79.319937142,21.4562095557,4.6943692405,1,11
gb_sample,75921,97.2684542742,44.2505012961,52.4751426476,1,10
gb_sample,37575,48.1755564188,15.2362195986,82.3363684707,1,9
gb_sample,9069,11.6964585507,13.1810790873,73.7166973708,1,10
gb_sample,52418,67.1641030315,53.6564096957,26.26101626,1,10
gb_sample,42903,54.9751357624,31.0277342247,62.2054601008,1,9
gb_sample,69366,88.8148068123,17.5178401456,29.5415696649,1,7
gb_sample,72997,93.5082022466,54.5179654122,63.6689184761,1,7
gb_sample,66754,85.4162540388,86.2950981445,27.7008075227,1,4
gb_sample,21197,27.1409887113,28.2897821832,30.9940663948,1,9
gb_sample,64039,81.8930420629,49.431689418,62.9165503101,1,10
gb_sample,62308,79.6748402259,62.0078012457,93.2835257684,1,10
gb_sample,10286,13.2361822815,42.5676570832,52.3385275365,1,13
gb_sample,34284,43.9188383985,11.2098190406,62.0149473691,1,11
gb_sample,39803,51.0046291483,43.3813799464,32.1015975598,1,13
gb_sample,50215,64.3170245131,66.8099184951,18.9899104366,1,11
gb_sample,49199,63.0284370144,12.0229598393,72.7907543567,1,10
gb_sample,37345,47.8819468938,23.5187699197,16.6423608206,1,11
gb_sample,71919,92.1016991291,89.1938310108,40.9520757343,1,10
gb_sample,35922,46.0648043822,62.4089508931,94.8804086352,1,11
gb_sample,38305,49.1152254424,72.4436149165,43.701682941,1,9
gb_sample,12696,16.2890353823,12.219390267,7.4862063522,1,11
gb_sample,68983,88.3071749924,48.5197852288,5.7855545951,1,11
gb_sample,69866,89.4558008868,92.6276573943,30.6877590809,1,5
gb_sample,51024,65.3781672635,68.7407966656,17.6938402017,1,10
gb_sample,78032,99.9343968931,51.237083456,13.5303262971,1,9
gb_sample,24348,31.1607777438,71.8612695915,90.3715018695,1,7
gb_sample,48263,61.833097942,90.3552439639,51.3752591276,1,10
gb_sample,66872,85.5780377936,80.0795645317,58.3297859328,1,10
gb_sample,18039,23.0841873864,73.1014007284,26.1940397902,1,7
gb_sample,25493,32.6496025125,31.6598255704,90.1937662555,1,9
gb_sample,14146,18.1270758796,44.8282603925,7.3762062607,1,10
gb_sample,25268,32.357850657,76.4259440959,10.7557188181,1,8
gb_sample,18129,23.20510711,75.3421245375,82.2918929439,1,5
gb_sample,22787,29.1640232201,66.6544370864,73.9409598041,1,9
gb_sample,15554,19.9298853412,4.1197677923,13.1624938575,1,11
gb_sample,53345,68.3434092557,56.9054928948,72.6010456445,1,11
gb_sample,53213,68.1653350868,89.3222001652,27.1128141827,1,9
gb_sample,46319,59.3160466356,28.6146482855,84.11706838,1,9
gb_sample,4021,5.2215112739,7.7188010074,47.8158389575,1,10
gb_sample,72377,92.7106101841,7.7589368143,76.7968328059,1,10
gb_sample,15738,20.1617993989,38.9505354546,0.1979874109,1,10
gb_sample,22442,28.7194316147,31.56065196,26.1034478852,1,10
gb_sample,78002,99.902484801,34.9744980244,63.6011487383,1,10
gb_sample,56353,72.1386483965,13.2259800664,56.608518621,1,10
gb_sample,22962,29.3902461896,80.6492658358,4.5349469845,1,6
gb_sample,46362,59.3782512916,57.9547982998,76.4708532678,1,11
gb_sample,20481,26.2222328655,63.4396502553,73.1577914696,1,11
gb_sample,53873,69.0064574298,26.7099053192,68.9761960881,1,9
gb_sample,37404,47.9512144261,7.6565651481,2.1694789575,1,9
gb_sample,43809,56.1222939218,27.9527114559,63.2920489746,1,9
gb_sample,45460,58.2319082582,12.285708848,5.8550145765,1,11
gb_sample,63673,81.4296714066,42.3368132596,30.1309962567,1,9
gb_sample,70758,90.6129148601,95.3676124665,38.626837803,1,10
gb_sample,3039,3.941657856,67.1159105977,54.2387880683,1,11
gb_sample,31234,39.9991640652,74.5670371611,17.0190800462,1,13
gb_sample,3730,4.8508868525,11.2914185002,35.0272219386,1,8
gb_sample,15642,20.0500678152,70.0949803832,2.0937270134,1,6
gb_sample,25998,33.2902178152,48.469811554,91.0691334342,1,8
gb_sample,32030,41.0332099235,85.3635604701,17.4847035992,1,10
gb_sample,54300,69.5428219317,10.2166437148,29.5205473192,1,10
gb_sample,16181,20.7242238879,30.8446032943,63.2464524784,1,9
gb_sample,49055,62.8273531186,69.4107441136,66.5786614787,1,10
gb_sample,74223,95.0815217153,74.2668396322,12.3139811688,1,10
gb_sample,17809,22.8012748012,18.8265167046,74.1743585276,1,11
gb_sample,41934,53.7340649366,72.3480985924,59.803676519,1,13
gb_sample,54531,69.8330396531,71.7909872731,52.9032469994,1,13
gb_sample,40657,52.1172810984,43.33710998,48.4312839716,1,13
gb_sample,1304,1.7240562603,92.0697927191,52.5569137546,1,11
gb_sample,26297,33.689400544,72.2245201758,90.4622115574,1,9
gb_sample,43274,55.4271835526,19.117509809,85.7713758823,1,10
gb_sample,37497,48.072083372,66.5580262152,28.3857888155,1,10
gb_sample,27781,35.6021672488,41.5644786957,83.9811264379,1,10
gb_sample,31205,39.969749914,34.0299992191,90.9908257169,1,9
