metric,value
n,500
mean_kj_mol,-6.797894477030774
std_kj_mol,9.934962925822049
min_kj_mol,-44.17484282388408
max_kj_mol,21.45901306719369
median_kj_mol,-5.805243981690056
q05_kj_mol,-24.24701597380635
q95_kj_mol,8.774884702563606
ours_fit_mu_kj_mol,2.977816161746662
ours_fit_sigma_kj_mol,13.930922961664402
ours_fit_alpha,-1.8628074638694163
ks_d_vs_wagih_approx,0.19913141615919716
ks_p_vs_wagih_approx,7.485644809113733e-18
wagih_mu_kj_mol,-2.0
wagih_sigma_kj_mol,8.0
wagih_range_min_kj_mol,-30.0
wagih_range_max_kj_mol,30.0
fraction_outside_wagih_range,0.02
