method,budget,mae_mean,mae_std,tail_mae_mean,tail_mae_std,xgb_abs_error_mean,xgb_abs_error_std,rmse_mean,rmse_std,r2_mean,r2_std,runtime_seconds_mean,runtime_seconds_std,n_runs
active_bootstrap_raw_pca,20,5.3073296971015065,0.8644217111488541,8.01224460822009,2.1769943179338944,0.020045784408539234,0.018235652955342022,7.070998654313104,0.9589291308199525,0.7977556853649087,0.05633987305935704,0.014184620400192216,0.0012861170428846913,10
kmeans_raw_pca,20,6.039817196423838,,6.851718015628552,,0.01765097127515336,,8.046997801142219,,0.7423364885536057,,1.1925196669762954,,1
random,20,6.240599495864374,2.238799779789039,8.248434107509274,3.1776743302376005,0.018340573496689837,0.015324842705699093,8.317126741709968,2.7504880236718257,0.6961496549117662,0.2265020019432844,0.014096720748057123,0.0013733844158642118,20
tail_aware_active_raw_pca,20,5.626116032252471,1.3882944712059166,7.5212589950232,1.3674961109424848,0.011206745628754487,0.010862775946009127,7.510574938383423,1.631187093458828,0.7660151085091125,0.11344527231271626,0.014053650104324333,0.001003547564170997,10
xgb_aware_active_raw_pca,20,4.947287506820622,0.507847010196896,6.782337383691311,1.059076332394845,0.01465546485291162,0.007410462182458676,6.667200142768088,0.5952733397003311,0.8218536867387062,0.031129681290073635,0.014497287597623653,0.0007176928113681904,10
active_bootstrap_raw_pca,50,4.1151864512414935,0.4130004536069907,5.84469252684424,0.386207697636151,0.012292201793901012,0.008558371764527714,5.767489780279996,0.37437568186225745,0.8671374410430521,0.018021188278807568,0.013910845795180649,0.000925852165679575,10
kmeans_raw_pca,50,4.667464205538842,,5.525463772915154,,0.0023647530543282613,,6.3691163716339725,,0.8385851362456717,,2.5497170829912648,,1
random,50,4.1875258385778595,0.43353756770262075,5.993471218218422,0.3626913577678638,0.010672629482489756,0.0075511022342156274,5.839640478044559,0.44114320299167814,0.8635713768206081,0.021666541001792834,0.013962556250044144,0.0007974306662913838,20
tail_aware_active_raw_pca,50,4.353053399805681,0.49975983274870955,6.067400801625369,0.8875974323447565,0.009044025890454322,0.0049375343050731,5.970878764480764,0.5756776986032074,0.8569526181341786,0.02780032241496443,0.013888208300340921,0.00033520408949590474,10
xgb_aware_active_raw_pca,50,4.130909934327103,0.26815025103839757,6.25502125868795,0.4333072476560622,0.010741134727354393,0.008348506519896777,5.794293356601875,0.21928340769017698,0.8662340558225718,0.010190376413575132,0.014021287401556037,0.0008902646039160737,10
active_bootstrap_raw_pca,70,3.9802490429116304,0.30105577105363157,6.0408854151395195,0.5678950188622578,0.01391610156989514,0.010692218490752902,5.655863822121521,0.2957950645089038,0.8723999595554908,0.01383268389657951,0.034821691503748295,0.0014802337888941133,10
kmeans_raw_pca,70,4.3533688672966715,,6.379370623711526,,0.005477324464853051,,6.092922924308089,,0.8522809437356735,,4.403995166998357,,1
random,70,4.0249973949211,0.322483039480792,5.7744472484566085,0.40455479797087357,0.008854777753331815,0.006048004644024632,5.632974102000672,0.3153066141813791,0.8733656728391695,0.01449130421145602,0.013423979199433233,0.0008378384026099482,20
tail_aware_active_raw_pca,70,4.02942455464086,0.21365527852919589,5.844740485651773,0.5524152643675673,0.01360927634609813,0.009439256461834519,5.686855145714512,0.21560017338354448,0.8711480712848779,0.0098942824296258,0.03531999189290218,0.0015014939532771835,10
xgb_aware_active_raw_pca,70,3.8888613954287385,0.22062057646096592,5.715882481176758,0.33534179531954905,0.007800719364401129,0.006715981780967854,5.506630576217575,0.15104857720512277,0.879260037832084,0.00670526305300461,0.05024397919478361,0.0025664339822425654,10
active_bootstrap_raw_pca,100,3.811814831993339,0.17122790247048292,5.936767456474779,0.3055583805186333,0.011586655214529418,0.0058887706646655,5.469466891644279,0.14861264349051492,0.8808857766010973,0.006481157386601191,0.07620642090332694,0.0013421816288936583,10
kmeans_raw_pca,100,3.652271720103328,,5.668781956534925,,0.006003906573089912,,5.254414519413987,,0.8901414612396141,,6.301219459011918,,1
